Adarsh Park Heights Phase 1 | Adarsh Developers | PRM/KA/RERA/1251/446/PR | Gunjur, Varthur Road | Active
Adarsh Park Heights Phase 2 | Adarsh Developers | PRM/KA/RERA/1251/446/PR | Gunjur, Varthur Road | Active
Assetz Canvas & Cove Phase 1 | Assetz Property Group | PRM/KA/RERA/1251/310/PR | Begur, off Hosur Road | Active
Assetz Canvas & Cove Phase 2 | Assetz Property Group | PRM/KA/RERA/1251/310/PR | Begur, off Hosur Road | Active
Assetz Marq 2.0 | Assetz Property & Homes LLP | PRM/KA/RERA/1251/446/PR | Whitefield, Kannamangala | Active
Bhartiya City Nikoo Homes 4 | Bhartiya City Developers Pvt Ltd | PRM/KA/RERA/1251/472/PR | Thanisandra Main Road | Active
Birla Trimaya Phase 1 | Birla Estates | PRM/KA/RERA/1250/303/PR | Shettigere, Devanahalli | Active
Birla Trimaya Phase 2 | Birla Estates | PRM/KA/RERA/1250/303/PR | Shettigere, Devanahalli | Active
Birla Trimaya Phase 3 | Birla Estates | PRM/KA/RERA/1250/303/PR | Shettigere, Devanahalli | Active
Brigade Calista Phase 1 | Brigade Group | PRM/KA/RERA/1251/446/PR | Budigere Cross, Old Madras Road | Active
Brigade Calista Phase 2 | Brigade Group | PRM/KA/RERA/1251/446/PR | Budigere Cross | Active
Brigade Oasis Phase 1 | Brigade Group | PRM/KA/RERA/1250/303/PR | Lakshmipura Village, Devanahalli | Active
Brigade Oasis Phase 2 | Brigade Group | PRM/KA/RERA/1250/303/PR | Lakshmipura Village, Devanahalli | Completed
Brigade Oasis Phase 3 | Brigade Group | PRM/KA/RERA/1250/303/PR | Devanahalli | Completed
Brigade Valencia Phase 1 | Brigade Group | PRM/KA/RERA/1251/308/PR | Kithiganahalli, Anekal | Active
Brigade Valencia Phase 2 | Brigade Group | PRM/KA/RERA/1251/308/PR | Electronic City, Hosur Road | Active
Godrej Ananda Phase 1 | Godrej Projects Development Pvt Ltd | PRM/KA/RERA/1251/309/PR | Aerospace Park, Bagalur | Completed
Godrej Ananda Phase 2 | Godrej Projects Development Pvt Ltd | PRM/KA/RERA/1251/446/PR | Bagalur Aerospace Park | Active
Godrej Athena | Godrej Properties | PRM/KA/RERA/1251/446/PR | Kaggadasapura | Active
Godrej Splendour Phase 1 | Godrej Properties | PRM/KA/RERA/1251/446/PR | Belathur Road, Whitefield | Active
Godrej Splendour Phase 2 | Godrej Properties | PRM/KA/RERA/1251/446/PR | Belathur Road, Whitefield | Active
Mahindra Eden Phase 1 | Mahindra Lifespaces | PRM/KA/RERA/1251/310/PR | Kanakapura Road | Active
Mahindra Zen | Mahindra Lifespaces | PRM/KA/RERA/1251/310/PR | Singasandra, Hosur Road | Active
Prestige Raintree Park | Prestige Group | PRM/KA/RERA/1251/446/PR | Varthur, Whitefield Main Road | Active
Provident Deansgate Phase 1 | Provident Housing Limited | PRM/KA/RERA/1250/303/PR | IVC Road, North Bengaluru | Active
Provident Deansgate Phase 2 | Provident Housing Limited | PRM/KA/RERA/1250/303/PR | IVC Road, North Bengaluru | Active
Provident Ecopolitan | Provident Housing Limited | PRM/KA/RERA/1251/309/PR | Bagaluru, KIADB Aerospace Park | Active
Purva Orient Grand | Puravankara | PRM/KA/RERA/1251/310/PR | Lalbagh Road | Active
Purva Zenium Phase 1 | Puravankara | PRM/KA/RERA/1251/309/PR | Hosahalli, International Airport Road | Active
Purva Zenium Phase 2 | Puravankara | PRM/KA/RERA/1251/309/PR | Hosahalli, International Airport Road | Active
Rohan Antara | Rohan Builders | PRM/KA/RERA/1251/446/PR | Gunjur Village | Active
Shriram 107 SouthEast Phase 1 | Shriram Properties | PRM/KA/RERA/1251/308/PR | Manchenahalli, Electronic City | Active
Shriram 107 SouthEast Phase 2 | Shriram Properties | PRM/KA/RERA/1251/308/PR | Manchenahalli, Electronic City | Active
Shriram 107 SouthEast Phase 3 | Shriram Properties | PRM/KA/RERA/1251/308/PR | Manchenahalli, Electronic City | Active
Shriram Pristine Estates | Shriram Properties | TOR/PRM/KA/RERA/1250/301 | Doddaballapura Highway | Active
Sobha Insignia | Sobha Limited | PRM/KA/RERA/1251/446/PR | Bellandur | Active
Sobha Manhattan Towers Tower 1 | Sobha Limited | PRM/KA/RERA/1251/308/PR | Attibele, Hosur Road | Active
Sobha Manhattan Towers Tower 2 | Sobha Limited | PRM/KA/RERA/1251/308/PR | Attibele, Hosur Road | Active
Sobha Neopolis Phase 1 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Neopolis Phase 2 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Neopolis Phase 3 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Neopolis Phase 4 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Neopolis Phase 5 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Sentosa Wing 7 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road, Outer Ring Road | Active
Sobha Sentosa Wings 1 & 2 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Sentosa Wings 3 & 4 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Sentosa Wings 5 & 6 | Sobha Limited | PRM/KA/RERA/1251/446/PR | Panathur Road | Active
Sobha Victoria Park Tower A | Sobha Limited | PRM/KA/RERA/1251/309/PR | Hennur Road | Active
Sobha Victoria Park Tower B | Sobha Limited | PRM/KA/RERA/1251/309/PR | Hennur Road | Active
TVS Emerald Cascadia | TVS Emerald Realty | PRM/KA/RERA/1251/310/PR | Hennur Road | Active
TVS Emerald Isle of Trees | TVS Emerald Realty | PRM/KA/RERA/1251/446/PR | North Bengaluru | Active
TVS Emerald Jardin | TVS Emerald Realty | PRM/KA/RERA/1251/310/PR | Singasandra, Hosur Road | Completed
Prestige Glenbrook | Prestige Group | PRM/KA/RERA/1251/446/PR | Nallurhalli, Whitefield | Active
Prestige Lavender Fields | Prestige Group | PRM/KA/RERA/1251/446/PR | Varthur, Whitefield | Active
Prestige Park Grove | Prestige Group | PRM/KA/RERA/1251/446/PR | Chikkabanahalli, Whitefield | Active
Prestige Serenity Shores | Prestige Group | PRM/KA/RERA/1251/446/PR | Gunjur Village, Whitefield | Active
Prestige Somerville | Prestige Group | PRM/KA/RERA/1251/446/PR | Ramagondanahalli, Whitefield | Active
Prestige Southern Star | Prestige Estates Projects Ltd | PRM/KA/RERA/1251/310/PR | Begur Village | Active
Rohan Akriti Phase 2 | Rohan Builders | PRM/KA/RERA/1251/310/PR | Kanakapura Road | Active
Rohan Upavan Phase 4 | Rohan Builders | PRM/KA/RERA/1251/309/PR | Hennur | Active
Adarsh Crest | Adarsh Developers | PRM/KA/RERA/1251/446/PR | Hebbal | Delayed
Adarsh Greens | Adarsh Developers | PRM/KA/RERA/1251/309/PR | Kogilu | Active
Adarsh Savana | Adarsh Developers | PRM/KA/RERA/1250/303/PR | Yelahanka Extension, Devanahalli | Active
Assetz Marq 3.0 | Assetz Property Group | | Whitefield-Hoskote Road | Active
Assetz Ren & Rei | Assetz Property Group | PRM/KA/RERA/1251/446/PR | Gattahalli, Sarjapur Road | Active
Assetz Trees & Tandem | Assetz Property Group | PRM/KA/RERA/1251/308/PR | Sarjapur Road | Active
Birla Evara | Birla Estates | PRM/KA/RERA/1251/446/PR | Kodathi, Sarjapur Road | Active
Birla Ojasvi | Birla Estates | PRM/KA/RERA/1251/310/PR | Rajarajeshwari Nagar | Active
Brigade Atmosphere | Brigade Group | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Brigade Citrine | Brigade Group | PRM/KA/RERA/1250/304/PR | Budigere Cross | Active
Brigade Eternia | Brigade Group | | Yelahanka | Applied
Brigade Horizon | Brigade Group | | Kumbalgodu | Active
Brigade Sanctuary | Brigade Group | PRM/KA/RERA/1251/446/PR | Varthur Road | Active
Embassy Edge | Embassy Group | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Embassy Springs | Embassy Group | PRM/KA/RERA/1250/303/PR | Devanahalli, Airport Road | Active
Godrej MSR City | Godrej Properties | PRM/KA/RERA/1250/303/PR | Shettigere, Devanahalli | Active
Godrej Nurture | Godrej Properties | PRM/KA/RERA/1251/308/PR | Electronic City Phase 1 | Active
Godrej Royale Woods | Godrej Properties | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Godrej Woodscapes | Godrej Properties | PRM/KA/RERA/1251/446/PR | Budigere Cross, Whitefield | Active
Godrej Tiara | Godrej Properties | PRM/KA/RERA/1251/309/PR | Goruguntepalya, Yeshwanthpur | Active
L&T Raintree Boulevard | L&T Realty | PRM/KA/RERA/1251/309/PR | Hebbal, Bellary Road | Active
Mahindra Blossom | Mahindra Lifespaces | | Hope Farm Junction, Whitefield | Active
Mahindra Windchimes | Mahindra Lifespaces | | Bannerghatta Road | Active
Prestige Camden Gardens | Prestige Group | PRM/KA/RERA/1251/472/PR | Thanisandra Main Road | Active
Prestige Gardenia Estates | Prestige Group | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Prestige Suncrest | Prestige Group | PRM/KA/RERA/1251/308/PR | Electronic City | Active
Provident Botanico | Provident Housing Limited | PRM/KA/RERA/1251/446/PR | Soukya Road, Whitefield | Active
Provident Park Square | Provident Housing Limited | PRM/KA/RERA/1251/310/PR | Kanakapura Road | Active
Purva Atmosphere | Puravankara | PRM/KA/RERA/1251/472/PR | Thanisandra | Active
Purva Blubelle | Puravankara | PRM/KA/RERA/1251/310/PR | Rajajinagar, Magadi Road | Active
Purva Meraki | Puravankara | PRM/KA/RERA/1251/310/PR | HSR Layout | Active
Purva Park Hill | Puravankara | PRM/KA/RERA/1251/310/PR | Kanakapura Road | Active
Purva Weaves | Puravankara | | Yemalur, Bellandur | Applied
Purva Aerocity | Puravankara | | Chikkajala, Devanahalli | Applied
Rohan Ekanta | Rohan Builders | PRM/KA/RERA/1251/446/PR | Gunjur | Active
Sattva Forest Ridge | Salarpuria Sattva Group | PRM/KA/RERA/1251/310/PR | JP Nagar 9th Phase | Active
Sattva Green Groves | Salarpuria Sattva Group | PRM/KA/RERA/1250/307/PR | Tumkur Road, Nelamangala | Active
Sattva La Vita | Salarpuria Sattva Group | PRM/KA/RERA/1251/446/PR | Hennur | Active
Sattva SimpliCity | Salarpuria Sattva Group | PRM/KA/RERA/1251/310/PR | Rajarajeshwari Nagar | Active
Sattva Songbird | Salarpuria Sattva Group | PRM/KA/RERA/1251/446/PR | Cheemasandra, Budigere Road | Active
Sattva Springs | Salarpuria Sattva Group | PRM/KA/RERA/1251/310/PR | Kanakapura Road | Active
Sattva Park Cubix | Salarpuria Sattva Group | PR/KN/170901/001749 | Devanahalli | Active
Shriram Serenity | Shriram Properties | PRM/KA/RERA/1251/309/PR | Yelahanka | Active
Sobha Infinia | Sobha Limited | PRM/KA/RERA/1251/446/PR | HSR Layout, Sarjapur Road | Active
Sobha Scarlet | Sobha Limited | | Sarjapur Road | Applied
Tata One Bangalore | Tata Housing | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Tata Swaram | Tata Housing | PRM/KA/RERA/1250/303/PR | Devanahalli | Active
Tata Varnam | Tata Housing | PRM/KA/RERA/1250/303/PR | Shettigere, Devanahalli | Active
Assetz 66 & Shibui | Assetz Property Group | PRM/KA/RERA/1251/446/PR | Whitefield Main Road | Active
Assetz Mizumi Reserve | Assetz Property Group | PRM/KA/RERA/1251/310/PR | Kanakapura Road | New launch
Assetz Muse & Maison | Assetz Property Group | PRM/KA/RERA/1251/310/PR | South Bengaluru | New launch
Assetz The Secret Lake | Assetz Property Group | PRM/KA/RERA/1250/303/PR | IVC Road, Devanahalli | Active
Century Liva | Century Real Estate | PRM/KA/RERA/1251/309/PR | Yelahanka, Doddaballapura Road | Active
Century Regalia | Century Real Estate | PRM/KA/RERA/1251/446/PR | Indiranagar | Active
Century Immencity | Century Real Estate | PRM/KA/RERA/1251/309/PR | Jakkur, Airport Road | New launch
Godrej Aveline | Godrej Properties | PRM/KA/RERA/1251/309/PR | Yelahanka Hobli | New launch
Godrej Lakeside Orchard | Godrej Properties | PRM/KA/RERA/1251/446/PR | Kodathi Village, Varthur Hobli | Active
